10.229.114.134 or-kdr-baibakova4-p1 Байбакова Н.К., д. 4
10.229.114.41 or1-kdr-artush27-p2 Артюшкова В.Д., д. 27
10.229.114.40 or1-kdr-artush27-p3 Артюшкова В.Д., д. 27
10.229.114.39 or1-kdr-artush27-p4 Артюшкова В.Д., д. 27
10.229.120.118 or1-kdr-1may344-p1 1-го Мая, д. 344
10.229.119.99 or1-kdr-trudo13-p3 Трудовой Славы, д. 13
10.229.119.72 or1-kdr-blago20-p4 Дмитрия Благоева, д. 20
10.228.107.148 or1-kdr-agrohim57 Агрохимическая, д. 57
10.228.107.149 or1-kdr-mosk118-2-p1 Московская, д. 118/к.2
10.228.107.150 or2-kdr-mosk118-2-p1 Московская, д. 118/к.2
10.228.107.151 or1-kdr-mosk118-2-p2 Московская, д. 118/к.2
10.228.107.152 or2-kdr-mosk118-2-p2 Московская, д. 118/к.2
10.228.107.153 or1-kdr-mosk118-2-p3 Московская, д. 118/к.2
10.228.107.154 or2-kdr-mosk118-2-p3 Московская, д. 118/к.2
10.229.120.52 or1-kdr-vologod11-p2 Вологодская, д. 11
10.229.120.14 or-kdr-40lp33-6-p2 40-летия Победы, д. 33/к.6
10.229.121.6 or1-kdr-temr64-p2 Темрюкская, д. 64
10.229.116.82 or1-kdr-simirenko71-1-p1 Симиренко, д. 71/к.1
10.229.116.83 or1-kdr-simirenko71-1-p2 Симиренко, д. 71/к.1
10.229.116.84 or1-kdr-simirenko71-1-p3 Симиренко, д. 71/к.1
10.229.116.85 or1-kdr-simirenko71-1-p4 Симиренко, д. 71/к.1
10.229.116.86 or1-kdr-simirenko71-1-p5 Симиренко, д. 71/к.1
10.229.116.89 or1-kdr-simirenko71-1-p6 Симиренко, д. 71/к.1
10.229.116.87 or1-kdr-simirenko71-2-p1 Симиренко, д. 71/к.2
10.229.116.88 or2-kdr-simirenko71-2-p1 Симиренко, д. 71/к.2
10.229.116.80 or1-kdr-simirenko71-3-p1 Симиренко, д. 71/к.3
10.229.116.81 or2-kdr-simirenko71-3-p1 Симиренко, д. 71/к.3
10.229.117.168 or1-kdr-prom25-5-p1 Промышленная, д. 25/к.5
10.229.116.212 or-kdr-olimp4-p2 Олимпийская, д. 4
10.228.107.177 or-kdr-morskaya4-p2 Морская, д. 4
10.228.107.178 or-kdr-morskaya4-p5 Морская, д. 4
10.229.116.165 or1-kdr-turgeneva144-p2 Тургенева, д. 144
10.229.116.166 or1-kdr-turgeneva144-p4 Тургенева, д. 144
10.229.116.162 or1-kdr-dalnjaja4-2-1-p1 Дальняя, д. 4/2/к.1
10.229.116.161 or1-kdr-dalnjaja4-2-1-p2 Дальняя, д. 4/2/к.1
10.229.116.155 or1-kdr-dalnjaja4-2-2-p1 Дальняя, д. 4/2/к.2
10.229.116.154 or1-kdr-dalnjaja4-2-2-p2 Дальняя, д. 4/2/к.2
10.229.116.153 or1-kdr-dalnjaja4-2-2-p3 Дальняя, д. 4/2/к.2
10.229.116.156 or1-kdr-prodalnji9-1-p1 Дальний, д. 9/к.1
10.229.116.157 or1-kdr-prodalnji9-1-p2 Дальний, д. 9/к.1
10.229.116.158 or1-kdr-prodalnji9-1-p3 Дальний, д. 9/к.1
10.228.107.182 or2-kdr-rashpilevskaya176-p2 Рашпилевская, д. 176
10.229.118.6 or1-kdr-dimit129-p3 Димитрова, д. 129
10.229.116.159 or1-kdr-prodalnji9-2-p1 Дальний, д. 9/к.2
10.229.116.160 or1-kdr-prodalnji9-2-p2 Дальний, д. 9/к.2
10.228.107.181 or-kdr-rashpilevskaya176-p2 Рашпилевская, д. 176
10.229.120.62 or-kdr-40lp65-p4 40-летия Победы, д. 65
10.229.118.7 or-kdr-aivaz118-p4 Айвазовского, д. 118
10.229.116.9 or-kdr-ciolk3-1-p1 Циолковского, д. 3/к.1
10.229.119.97 or-kdr-trudo19-1-p1 Трудовой Славы, д. 19/к.1
10.229.112.6 or-kdr-cherk58-p3 Черкасская, д. 58
10.229.114.21 or-kdr-mosk90-p4 Московская, д. 90
10.229.120.112 or1-kdr-40lp146-10-p2 40-летия Победы, д. 146/к.10
10.229.120.113 or1-kdr-40lp146-10-p4 40-летия Победы, д. 146/к.10
10.228.107.163 or1-kdr-metalnikova28-p1 Петра Метальникова, д. 28
10.228.107.164 or2-kdr-metalnikova28-p1 Петра Метальникова, д. 28
10.228.107.165 or1-kdr-metalnikova28-p2 Петра Метальникова, д. 28
10.228.107.166 or2-kdr-metalnikova28-p2 Петра Метальникова, д. 28
10.228.107.167 or1-kdr-metalnikova28-p3 Петра Метальникова, д. 28
10.228.107.168 or2-kdr-metalnikova28-p3 Петра Метальникова, д. 28
10.228.107.169 or1-kdr-metalnikova26-p1 Петра Метальникова, д. 26
10.228.107.171 or1-kdr-metalnikova26-p2 Петра Метальникова, д. 26
10.228.107.170 or2-kdr-metalnikova26-p1 Петра Метальникова, д. 26
10.228.107.172 or2-kdr-metalnikova26-p2 Петра Метальникова, д. 26
10.228.107.173 or1-kdr-zhigulenko5-1-p1 Евгении Жигуленко, д. 5/к.1
10.228.107.174 or2-kdr-zhigulenko5-1-p1 Евгении Жигуленко, д. 5/к.1
10.228.107.175 or1-kdr-zhigulenko5-2-p1 Евгении Жигуленко, д. 5/к.2
10.228.107.176 or2-kdr-zhigulenko5-2-p1 Евгении Жигуленко, д. 5/к.2
10.229.112.4 or-kdr-vkrug48-1-p3 Восточно-Кругликовская, д. 48/к.1
10.229.118.16 or-kdr-staso153-p3 Стасова, д. 153
10.229.124.64 or-kdr-9tih15-p1 9-я Тихая, д. 15
10.229.119.98 or-kdr-ignat51-p3 Игнатова, д. 51
10.228.107.183 or-kdr-garazh71-1-p3 Гаражная, д. 71/1
10.229.114.31 or-kdr-zip39-p2 Зиповская, д. 39
10.229.114.143 or-kdr-zip41-p2 Зиповская, д. 41
10.229.121.86 or-kdr-krasnpar75-p2 Красных Партизан, д. 75
10.229.121.76 or1-kdr-krasnpar75-p5 Красных Партизан, д. 75
10.229.120.115 or-kdr-vologod26-p2 Вологодская, д. 26
10.229.114.30 or-kdr-artush21-p2 Артюшкова В.Д., д. 21
10.229.116.171 or1-kdr-garazh107-p1 Гаражная, д. 107
10.229.116.170 or2-kdr-garazh107-p1 Гаражная, д. 107
10.229.116.172 or1-kdr-garazh107-p2 Гаражная, д. 107
10.229.116.169 or2-kdr-garazh107-p2 Гаражная, д. 107
10.229.116.167 or1-kdr-garazh107-p3 Гаражная, д. 107
10.229.116.168 or2-kdr-garazh107-p3 Гаражная, д. 107
10.229.121.77 or-kdr-temr65-p3 Темрюкская, д. 65
10.229.116.163 or1-kdr-turgeneva140-2-p1 Тургенева, д. 140/к.2
10.229.116.164 or1-kdr-turgeneva140-1-p1 Тургенева, д. 140/к.1
10.229.122.43 or-kdr-irkut8-p3 30-й Иркутской Дивизии, д. 8
10.229.114.26 or-kdr-karyakina15-p4 Карякина, д. 15
10.229.114.36 or-kdr-artush25-p1 Артюшкова В.Д., д. 25
10.229.114.37 or-kdr-artush25-p2 Артюшкова В.Д., д. 25
10.229.114.38 or-kdr-artush25-p3 Артюшкова В.Д., д. 25
10.228.108.149 or-kdr-prangar10-p1 Ангарский, д. 10
10.228.108.130 or-kdr-agrohim105-p1 Агрохимическая, д. 105
10.229.122.56 or1-kdr-tulae12-p3 Тюляева, д. 12
10.229.117.102 or1-kdr-prom19-2-p2 Промышленная, д. 19/к.2
10.229.124.115 or-kdr-pokryshk4-6-p1 Покрышкина, д. 4/к.6
10.229.124.116 or-kdr-pokryshk4-6-p2 Покрышкина, д. 4/к.6
10.229.124.117 or-kdr-pokryshk4-7-p1 Покрышкина, д. 4/к.7
10.229.124.118 or-kdr-pokryshk4-8-p1 Покрышкина, д. 4/к.8
10.229.112.7 or-kdr-vkrug46-b-p2 Восточно-Кругликовская, д. 46/к.Б
10.229.116.40 or-kdr-turgeneva132-p2 Тургенева, д. 132
10.229.116.41 or-kdr-turgeneva136-p3 Тургенева, д. 136
10.229.116.42 or-kdr-turgeneva134-p2 Тургенева, д. 134
10.229.124.91 or-kdr-dushis59-p1 Душистая, д. 59
10.229.124.90 or-kdr-dushis57-p1 Душистая, д. 57
10.229.119.111 or-pash-energ10-p2 тер. Энергетиков, д. 10
10.229.122.30 or-kdr-irkut13-p3 30-й Иркутской Дивизии, д. 13
10.229.120.106 or-kdr-40lp146-8-p1 40-летия Победы, д. 146/к.8
10.229.120.111 or-kdr-vesen21-p2 Весенняя, д. 21
10.229.112.20 or1-kdr-trosheva33-p1 Генерала Трошева Г.Н., д. 33
10.229.112.25 or1-kdr-trosheva33-p2 Генерала Трошева Г.Н., д. 33
10.229.112.19 or1-kdr-trosheva33-p3 Генерала Трошева Г.Н., д. 33
10.229.112.18 or1-kdr-trosheva33-p4 Генерала Трошева Г.Н., д. 33
10.229.112.22 or1-kdr-trosheva37-p1 Генерала Трошева Г.Н., д. 37
10.229.112.21 or1-kdr-trosheva37-p2 Генерала Трошева Г.Н., д. 37
10.229.112.23 or1-kdr-trosheva37-p3 Генерала Трошева Г.Н., д. 37
10.229.112.24 or1-kdr-trosheva37-p4 Генерала Трошева Г.Н., д. 37
10.229.112.198 or1-kdr-trosheva39-p1 Генерала Трошева Г.Н., д. 39
10.229.112.197 or1-kdr-trosheva39-p2 Генерала Трошева Г.Н., д. 39
10.229.112.28 or1-kdr-trosheva41-p1 Генерала Трошева Г.Н., д. 41
10.229.112.27 or1-kdr-trosheva41-p2 Генерала Трошева Г.Н., д. 41
10.229.112.29 or1-kdr-trosheva41-p3 Генерала Трошева Г.Н., д. 41
10.229.112.26 or1-kdr-trosheva41-p4 Генерала Трошева Г.Н., д. 41
10.229.112.204 or1-kdr-yatskova18-p1 Яцкова И.В., д. 18
10.229.112.205 or1-kdr-yatskova18-p2 Яцкова И.В., д. 18
10.229.117.5 or-kdr-platan5-p2 Платановый Бульвар, д. 5
10.229.117.103 or-kdr-novokuz127-p2 Новокузнечная, д. 127
10.229.120.94 or-kdr-vologod20-p2 Вологодская, д. 20
10.229.112.103 or-kdr-40lp99-p2 40-летия Победы, д. 99
10.228.109.62 or-kdr-rahman33-p2 Рахманинова С.В., д. 33
10.229.112.50 or1-kdr-trosheva35-p1 Генерала Трошева Г.Н., д. 35
10.229.112.51 or1-kdr-trosheva35-p2 Генерала Трошева Г.Н., д. 35
10.229.112.52 or1-kdr-trosheva35-p3 Генерала Трошева Г.Н., д. 35
10.229.112.123 or1-kdr-trosheva35-p4 Генерала Трошева Г.Н., д. 35
10.229.112.70 or-kdr-cherk72-p1 Черкасская, д. 72
10.229.112.69 or-kdr-cherk72-p2 Черкасская, д. 72
10.229.112.49 or1-kdr-posad52-p1 Владислава Посадского, д. 52
10.229.112.48 or1-kdr-posad52-p2 Владислава Посадского, д. 52
10.229.112.47 or1-kdr-posad52-p3 Владислава Посадского, д. 52
10.229.112.46 or1-kdr-posad52-p4 Владислава Посадского, д. 52
10.229.120.97 or-kdr-cherk43-p4 Черкасская, д. 43
10.228.107.204 or1-kdr-dzer2-p2 Дзержинского, д. 2
10.228.107.205 or1-kdr-dzer2-p5 Дзержинского, д. 2
10.229.121.67 or1-kdr-krasnpar161-2-p3 Красных Партизан, д. 161/к.2
10.229.121.79 or-kdr-lukjanenko28-p1 Лукьяненко П.П., д. 28
10.229.112.39 or1-kdr-cherk60-1-p1 Черкасская, д. 60/1
10.229.112.44 or1-kdr-cherk60-1-p2 Черкасская, д. 60/1
10.229.112.45 or1-kdr-cherk60-1-p3 Черкасская, д. 60/1
10.229.112.38 or1-kdr-cherk60-1-p4 Черкасская, д. 60/1
10.229.121.33 or1-kdr-temr68-1-p2 Темрюкская, д. 68/к.1
10.229.112.8 or-kdr-40lp109-p1 40-летия Победы, д. 109
10.229.112.43 or1-kdr-razved23-1-p1 Героев-Разведчиков, д. 23/1
10.229.114.20 or-kdr-artush5-p2 Артюшкова В.Д., д. 5
10.229.112.40 or1-kdr-razved23-1-p2 Героев-Разведчиков, д. 23/1
10.229.112.41 or1-kdr-razved23-1-p3 Героев-Разведчиков, д. 23/1
10.229.112.42 or1-kdr-razved23-1-p4 Героев-Разведчиков, д. 23/1
10.228.109.205 or-kdr-dunaev27-b-p1 Дунаевского И.И., д. 27/к.б
10.228.108.131 or-kdr-angar2-5-p2 Ангарская, д. 2/к.5
10.229.112.193 or-kdr-40lp115-p1 40-летия Победы, д. 115
10.229.120.107 or-kdr-40lp146-6-2-p1 40-летия Победы, д. 146/к.6К2
10.229.114.35 or-kdr-karyakina19-p2 Карякина, д. 19
10.229.120.108 or-kdr-40lp146-6-1-p1 40-летия Победы, д. 146/к.6К1
10.229.120.110 or1-kdr-40lp146-5-p4 40-летия Победы, д. 146/к.5
10.229.120.109 or1-kdr-40lp146-5-p2 40-летия Победы, д. 146/к.5
10.228.108.144 or-kdr-dunaev22-b-p2 Дунаевского И.И., д. 22/к.б
10.229.116.17 or-kdr-repina22-p3 Репина, д. 22
10.229.117.108 or-kdr-hakurate10-1-p1 Хакурате, д. 10/к.1
10.229.117.105 or-kdr-hakurate10-2-p1 Хакурате, д. 10/к.2
10.229.117.107 or-kdr-hakurate12-p1 Хакурате, д. 12
10.229.117.106 or-kdr-hakurate12-p3 Хакурате, д. 12
10.229.117.100 or-kdr-gudimi28-p1 Гудимы, д. 28
10.229.119.77 or-kdr-gidro59-p1 Гидростроителей, д. 59
10.229.114.28 or-kdr-artush15-p2 Артюшкова В.Д., д. 15
10.228.107.155 or1-kdr-mosk118-1-p1 Московская, д. 118/к.1
10.228.107.156 or2-kdr-mosk118-1-p1 Московская, д. 118/к.1
10.228.107.157 or1-kdr-mosk118-1-p2 Московская, д. 118/к.1
10.228.107.158 or2-kdr-mosk118-1-p2 Московская, д. 118/к.1
10.228.107.159 or1-kdr-mosk118-1-p3 Московская, д. 118/к.1
10.228.107.160 or2-kdr-mosk118-1-p3 Московская, д. 118/к.1
10.228.107.161 or1-kdr-mosk118-1-p4 Московская, д. 118/к.1
10.228.107.162 or2-kdr-mosk118-1-p4 Московская, д. 118/к.1
10.229.117.147 or-kdr-staso183-2-p1 Стасова, д. 183/к.2
10.229.112.15 or-kdr-averkieva26-p1 Аверкиева А.А., д. 26
10.229.112.16 or-kdr-averkieva26-p2 Аверкиева А.А., д. 26
10.229.112.17 or-kdr-averkieva26-p3 Аверкиева А.А., д. 26
10.229.112.11 or-kdr-averkieva26-p4 Аверкиева А.А., д. 26
10.229.112.111 or-kdr-averkieva1-p6 Аверкиева А.А., д. 1
10.229.118.29 or1-kdr-stavr246-p2 Ставропольская, д. 246
10.229.112.63 or-kdr-razved17-p1 Героев-Разведчиков, д. 17
10.229.112.62 or-kdr-razved17-p2 Героев-Разведчиков, д. 17
10.229.112.61 or-kdr-razved17-p3 Героев-Разведчиков, д. 17
10.229.112.60 or-kdr-razved17-p4 Героев-Разведчиков, д. 17
10.229.112.67 or-kdr-razved17-1-p1 Героев-Разведчиков, д. 17/1
10.229.112.66 or-kdr-razved17-1-p2 Героев-Разведчиков, д. 17/1
10.229.112.65 or-kdr-razved17-1-p3 Героев-Разведчиков, д. 17/1
10.229.112.64 or-kdr-razved17-1-p4 Героев-Разведчиков, д. 17/1
10.229.112.59 or-kdr-razved17-1-p5 Героев-Разведчиков, д. 17/1
10.228.107.210 or1-kdr-korenov57-2-p1 Кореновская, д. 57/к.2
10.228.107.211 or2-kdr-korenov57-2-p1 Кореновская, д. 57/к.2
10.228.107.212 or1-kdr-korenov57-2-p2 Кореновская, д. 57/к.2
10.228.107.213 or2-kdr-korenov57-2-p2 Кореновская, д. 57/к.2
10.228.107.214 or1-kdr-korenov57-2-p3 Кореновская, д. 57/к.2
10.228.107.215 or2-kdr-korenov57-2-p3 Кореновская, д. 57/к.2
10.229.117.149 or-kdr-altai10-p2 Алтайская, д. 10
10.229.119.76 or-kdr-trudo50-p2 Трудовой Славы, д. 50
10.229.112.57 or1-kdr-40lp184-1-1-p1 40-летия Победы, д. 184/к.1
10.229.112.58 or1-kdr-40lp184-1-1-p2 40-летия Победы, д. 184/к.1
10.229.112.56 or1-kdr-40lp184-1-2-p1 40-летия Победы, д. 184/к.2
10.229.112.55 or2-kdr-40lp184-1-2-p1 40-летия Победы, д. 184/к.2
10.229.112.54 or1-kdr-40lp184-1-3-p1 40-летия Победы, д. 184/к.3
10.229.112.53 or1-kdr-40lp184-1-3-p2 40-летия Победы, д. 184/к.3
10.229.115.38 or-kdr-kozhev60 Кожевенная, д. 60
10.229.118.30 or1-kdr-stavr226-1-p2 Ставропольская, д. 226/к.1
10.228.110.78 or-kdr-rahman7-p1 Рахманинова С.В., д. 7
10.229.117.86 or1-kdr-70lo1-7-p1 70-летия Октября, д. 1/к.7
10.228.107.216 or1-kdr-metalnikova3-1-1-p1 Петра Метальникова, д. 3/1/к.1
10.228.107.242 or2-kdr-metalnikova3-1-1-p1 Петра Метальникова, д. 3/1/к.1
10.228.107.243 or1-kdr-metalnikova3-1-1-p2 Петра Метальникова, д. 3/1/к.1
10.228.107.217 or2-kdr-metalnikova3-1-1-p2 Петра Метальникова, д. 3/1/к.1
10.228.107.218 or1-kdr-metalnikova3-1-1-p3 Петра Метальникова, д. 3/1/к.1
10.228.107.219 or2-kdr-metalnikova3-1-1-p3 Петра Метальникова, д. 3/1/к.1
10.228.107.220 or1-kdr-metalnikova3-1-2-p1 Петра Метальникова, д. 3/1/к.2
10.228.107.221 or2-kdr-metalnikova3-1-2-p1 Петра Метальникова, д. 3/1/к.2
10.229.117.93 or-kdr-oktyabr181-2-1-p1 Октябрьская, д. 181/2/к.1
10.229.117.92 or-kdr-oktyabr181-2-1-p2 Октябрьская, д. 181/2/к.1
10.229.117.91 or-kdr-oktyabr181-2-2-p1 Октябрьская, д. 181/2/к.2
10.229.117.90 or-kdr-oktyabr181-2-2-p2 Октябрьская, д. 181/2/к.2
10.229.117.89 or-kdr-oktyabr181-2-3-p3 Октябрьская, д. 181/2/к.3
10.229.117.88 or-kdr-oktyabr181-2-3-p4 Октябрьская, д. 181/2/к.3
10.229.117.98 or-kdr-oktyabr181-2-3-p1 Октябрьская, д. 181/2/к.3
10.229.117.99 or-kdr-oktyabr181-2-3-p2 Октябрьская, д. 181/2/к.3
10.229.117.96 or-kdr-oktyabr181-2-p1 Октябрьская, д. 181/2/к.литер 2
10.229.117.97 or-kdr-oktyabr181-2-p2 Октябрьская, д. 181/2/к.литер 2
10.229.117.95 or-kdr-oktyabr181-2-p3 Октябрьская, д. 181/2/к.литер 2
10.229.117.94 or-kdr-oktyabr181-2-p4 Октябрьская, д. 181/2/к.литер 2
10.229.112.9 or1-kdr-40lp103-p1 40-летия Победы, д. 103
10.229.114.23 or-kdr-mosk86-p2 Московская, д. 86
10.229.118.24 or-kdr-taman153-1-p1 Таманская, д. 153/к.1
10.229.118.25 or-kdr-taman153-1-p2 Таманская, д. 153/к.1
10.229.118.27 or-kdr-taman153-6-p1 Таманская, д. 153/к.6
10.229.118.26 or-kdr-taman153-2-p2 Таманская, д. 153/к.2
10.229.122.42 or1-kdr-staro131-3-p1 Старокубанская, д. 137/к.1
10.229.122.41 or2-kdr-staro131-3-p1 Старокубанская, д. 137/к.1
10.229.122.37 or1-kdr-staro137-2-p1 Старокубанская, д. 137/к.2
10.229.122.36 or2-kdr-staro137-2-p1 Старокубанская, д. 137/к.2
10.229.122.38 or1-kdr-staro137-2-p2 Старокубанская, д. 137/к.2
10.229.122.57 or2-kdr-staro137-2-p2 Старокубанская, д. 137/к.2
10.229.122.40 or1-kdr-staro137-2-p3 Старокубанская, д. 137/к.2
10.229.122.39 or2-kdr-staro137-2-p3 Старокубанская, д. 137/к.2
10.229.122.33 or1-kdr-staro139-p1 Старокубанская, д. 139
10.229.122.32 or2-kdr-staro139-p1 Старокубанская, д. 139
10.229.122.35 or1-kdr-staro139-p2 Старокубанская, д. 139
10.229.122.34 or2-kdr-staro139-p2 Старокубанская, д. 139
10.229.122.51 or1-kdr-urals129-p1 Уральская, д. 129
10.229.122.50 or2-kdr-urals129-p1 Уральская, д. 129
10.229.122.54 or1-kdr-urals129-p2 Уральская, д. 129
10.229.122.47 or2-kdr-urals129-p2 Уральская, д. 129
10.229.122.60 or1-kdr-urals162-4-p1 Уральская, д. 162/4
10.229.122.59 or2-kdr-urals162-4-p1 Уральская, д. 162/4
10.229.122.61 or1-kdr-urals162-4-p2 Уральская, д. 162/4
10.229.122.58 or2-kdr-urals162-4-p2 Уральская, д. 162/4
10.229.122.52 or1-kdr-urals166-2-p1 Уральская, д. 166/2
10.229.122.49 or2-kdr-urals166-2-p1 Уральская, д. 166/2
10.229.122.53 or1-kdr-urals166-2-p2 Уральская, д. 166/2
10.229.122.48 or2-kdr-urals166-2-p2 Уральская, д. 166/2
10.229.119.94 or1-kdr-blago29-1-p1 Дмитрия Благоева, д. 29/к.1
10.229.119.96 or1-kdr-blago29-1-p2 Дмитрия Благоева, д. 29/к.1
10.229.119.93 or2-kdr-blago29-1-p1 Дмитрия Благоева, д. 29/к.1
10.229.119.95 or2-kdr-blago29-1-p2 Дмитрия Благоева, д. 29/к.1
10.229.119.90 or1-kdr-blago29-2-p1 Дмитрия Благоева, д. 29/к.2
10.229.119.92 or1-kdr-blago29-2-p2 Дмитрия Благоева, д. 29/к.2
10.229.119.91 or2-kdr-blago29-2-p1 Дмитрия Благоева, д. 29/к.2
10.229.119.89 or2-kdr-blago29-2-p2 Дмитрия Благоева, д. 29/к.2
10.228.107.222 or1-kdr-esenina110 Сергея Есенина, д. 110/1
10.228.107.223 or1-kdr-esenina110-1-p1 Сергея Есенина, д. 110/к.1
10.228.107.225 or1-kdr-esenina110-1-p2 Сергея Есенина, д. 110/к.1
10.228.107.224 or2-kdr-esenina110-1-p1 Сергея Есенина, д. 110/к.1
10.228.107.226 or2-kdr-esenina110-1-p2 Сергея Есенина, д. 110/к.1
10.228.107.228 or1-kdr-esenina110-2-p1 Сергея Есенина, д. 110/к.2
10.228.107.230 or1-kdr-esenina110-2-p2 Сергея Есенина, д. 110/к.2
10.228.107.229 or2-kdr-esenina110-2-p1 Сергея Есенина, д. 110/к.2
10.228.107.231 or2-kdr-esenina110-2-p2 Сергея Есенина, д. 110/к.2
10.228.107.232 or1-kdr-ross267-3-1-p1 Российская, д. 267/3/к.1
10.228.107.233 or1-kdr-ross267-3-1-p2 Российская, д. 267/3/к.1
10.228.107.234 or1-kdr-ross267-3-2-p1 Российская, д. 267/3/к.2
10.228.107.235 or1-kdr-ross267-3-2-p2 Российская, д. 267/3/к.2
10.228.107.236 or1-kdr-ross267-3-3-p1 Российская, д. 267/3/к.3
10.228.107.237 or1-kdr-ross267-3-3-p2 Российская, д. 267/3/к.3
10.228.107.238 or1-kdr-ross267-3-4-p1 Российская, д. 267/3/к.4
10.228.107.239 or1-kdr-ross267-3-4-p2 Российская, д. 267/3/к.4
10.229.116.207 or1-kdr-obraz6-3-p1 Константина Образцова, д. 6/к.3
10.229.116.208 or1-kdr-obraz6-3-p2 Константина Образцова, д. 6/к.3
10.229.116.209 or1-kdr-obraz6-3-p3 Константина Образцова, д. 6/к.3
10.228.107.5 or1-kdr-aerodrom10-1-p1 Аэродромная, д. 10/к.1
10.228.107.6 or1-kdr-aerodrom10-2-p1 Аэродромная, д. 10/к.2
10.228.107.7 or1-kdr-babushkina281-1-p1 Бабушкина, д. 281/к.1
10.229.118.9 or-kdr-taman153-2-p1 Таманская, д. 153/к.2
10.229.120.103 or1-kdr-ross94-p2 Российская, д. 94
10.229.120.98 or1-kdr-ross94-p4 Российская, д. 94
10.229.120.105 or1-kdr-ross130-p1 Российская, д. 130
10.229.120.104 or2-kdr-ross130-p1 Российская, д. 130
10.229.112.14 or1-kdr-averkieva30-p1 Аверкиева А.А., д. 30
10.229.112.13 or1-kdr-averkieva30-p2 Аверкиева А.А., д. 30
10.229.112.12 or1-kdr-averkieva30-p3 Аверкиева А.А., д. 30
10.228.107.8 or1-kdr-gavril60-p3 Гаврилова П.М., д. 60
10.229.119.123 or1-kdr-ignat4-3-p1 Игнатова, д. 4/3/к.1
10.229.119.124 or1-kdr-ignat4-3-p2 Игнатова, д. 4/3/к.1
10.229.119.125 or1-kdr-ignat4-3-p3 Игнатова, д. 4/3/к.1
10.229.119.115 or1-kdr-machugi4-2-p1 Мачуги В.Н., д. 4/2
10.229.119.116 or1-kdr-machugi4-2-p2 Мачуги В.Н., д. 4/2
10.229.119.117 or1-kdr-machugi4-2-p3 Мачуги В.Н., д. 4/2
10.229.119.121 or1-kdr-machugi6-2-p1 Мачуги В.Н., д. 6/2
10.229.119.122 or1-kdr-machugi6-2-p2 Мачуги В.Н., д. 6/2
10.229.113.84 or-kdr-razved12-p1 Героев-Разведчиков, д. 12
10.229.113.83 or-kdr-razved12-p2 Героев-Разведчиков, д. 12
10.229.113.82 or-kdr-razved12-p3 Героев-Разведчиков, д. 12
10.229.113.80 or-kdr-razved10-p1 Героев-Разведчиков, д. 10
10.229.113.79 or2-kdr-razved10-p2 Героев-Разведчиков, д. 10
10.229.113.81 or2-kdr-razved10-p1 Героев-Разведчиков, д. 10
10.229.113.78 or-kdr-razved10-p2 Героев-Разведчиков, д. 10
10.229.113.76 or-kdr-razved10-p3 Героев-Разведчиков, д. 10
10.229.113.77 or2-kdr-razved10-p3 Героев-Разведчиков, д. 10
10.229.113.113 or-kdr-sarabeeva7-p1 Сарабеева В.И., д. 7
10.229.113.111 or-kdr-sarabeeva7-p2 Сарабеева В.И., д. 7
10.229.113.114 or2-kdr-sarabeeva7-p1 Сарабеева В.И., д. 7
10.229.113.112 or2-kdr-sarabeeva7-p2 Сарабеева В.И., д. 7
10.229.113.110 or2-kdr-sarabeeva7-p3 Сарабеева В.И., д. 7
10.229.113.109 or-kdr-sarabeeva7-p3 Сарабеева В.И., д. 7
10.229.120.102 or1-kdr-ross74-3-p1 Российская, д. 74/3
10.229.120.101 or2-kdr-ross74-3-p1 Российская, д. 74/3
10.229.120.99 or-kdr-ross74-2-p2 Российская, д. 74/2
10.229.120.100 or-kdr-ross74-2-p4 Российская, д. 74/2
10.229.116.223 or-kdr-turgeneva183-p2 Тургенева, д. 183
10.229.116.224 or-kdr-turgeneva183-p4 Тургенева, д. 183
10.229.116.225 or-kdr-turgeneva183-p7 Тургенева, д. 183
10.229.112.210 or1-kdr-razved19-2-p1 Героев-Разведчиков, д. 19/2
10.229.112.208 or1-kdr-razved19-2-p2 Героев-Разведчиков, д. 19/2
10.229.112.209 or1-kdr-razved19-2-p3 Героев-Разведчиков, д. 19/2
10.229.113.115 or1-kdr-sarabeeva9-p1 Сарабеева В.И., д. 9
10.229.113.116 or2-kdr-sarabeeva9-p1 Сарабеева В.И., д. 9
10.229.113.119 or4-kdr-sarabeeva9-p1 Сарабеева В.И., д. 9
10.229.113.118 or3-kdr-sarabeeva9-p1 Сарабеева В.И., д. 9
10.229.117.163 or1-kdr-kalinina13-b-p1 Калинина, д. 13Б
10.229.117.164 or2-kdr-kalinina13-b-p1 Калинина, д. 13Б
10.229.117.172 or1-kdr-kalinina13-63-p1 Калинина, д. 13/к.63
10.229.117.173 or1-kdr-kalinina13-63-p2 Калинина, д. 13/к.63
10.229.117.174 or1-kdr-kalinina13-63-p3 Калинина, д. 13/к.63
10.229.117.176 or1-kdr-kalinina13-63-p5 Калинина, д. 13/к.63
10.229.117.175 or1-kdr-kalinina13-63-p4 Калинина, д. 13/к.63
10.229.117.177 or1-kdr-kalinina13-64-p1 Калинина, д. 13/к.64
10.229.117.165 or1-kdr-kalinina13-60-p1 Калинина, д. 13/к.60
10.229.117.166 or1-kdr-kalinina13-60-p2 Калинина, д. 13/к.60
10.229.117.167 or1-kdr-kalinina13-60-p3 Калинина, д. 13/к.60
